minute,second,h_a,x,y,type,outcomeType,playerName,endX,endY,Setpiece,xT,team,country,competition,season
0,0,a,50,50,Pass,Successful,Luka Modric,26.6,41.7,FALSE,-0.004944165728,Real Madrid,Europe,Champions-League,2022-2023
0,2,a,27.4,41.6,Pass,Successful,Éder Militão,58.6,94.7,FALSE,0.005165630398,Real Madrid,Europe,Champions-League,2022-2023
0,6,a,59.1,94.7,BallTouch,Unsuccessful,Vinícius Júnior,,,FALSE,,Real Madrid,Europe,Champions-League,2022-2023
0,7,h,39.4,4.9,Pass,Unsuccessful,Trent Alexander-Arnold,65.2,9.8,FALSE,,Liverpool,Europe,Champions-League,2022-2023
0,7,h,39.4,4.9,BallRecovery,Successful,Trent Alexander-Arnold,,,FALSE,,Liverpool,Europe,Champions-League,2022-2023
0,9,a,30.2,92.5,BallRecovery,Successful,Antonio Rüdiger,,,FALSE,,Real Madrid,Europe,Champions-League,2022-2023
0,10,a,29.4,92.5,Pass,Successful,Antonio Rüdiger,34.6,89.6,FALSE,0.00113909947,Real Madrid,Europe,Champions-League,2022-2023
0,11,a,34.2,89.5,Pass,Successful,Eduardo Camavinga,7.8,63.8,FALSE,-0.001397884399,Real Madrid,Europe,Champions-League,2022-2023
0,15,a,7.8,63.8,Pass,Successful,Thibaut Courtois,15.9,24.6,FALSE,-0.0001322858054,Real Madrid,Europe,Champions-League,2022-2023
0,17,a,15.9,24.6,carry,Successful,Daniel Carvajal,17.1,13,FALSE,-0.000747111608,Real Madrid,Europe,Champions-League,2022-2023
0,19,a,17.1,13,Pass,Successful,Daniel Carvajal,8.3,25.1,FALSE,0.00005582314521,Real Madrid,Europe,Champions-League,2022-2023
0,22,a,8.3,25.1,Pass,Successful,Éder Militão,22.1,30.1,FALSE,0.001385581598,Real Madrid,Europe,Champions-League,2022-2023
0,23,a,20.9,30.3,Pass,Successful,Eduardo Camavinga,4.6,49.7,FALSE,-0.00049621442,Real Madrid,Europe,Champions-League,2022-2023
0,26,a,5.3,50.5,Pass,Successful,Thibaut Courtois,13.3,84.7,FALSE,-0.001035457021,Real Madrid,Europe,Champions-League,2022-2023
0,29,a,13.8,85.3,Pass,Successful,Antonio Rüdiger,21.4,94.2,FALSE,-0.00001752378841,Real Madrid,Europe,Champions-League,2022-2023
0,30,a,21.4,94.2,Pass,Successful,David Alaba,13.5,88.5,FALSE,-0.000258811102,Real Madrid,Europe,Champions-League,2022-2023
