,id,eventId,minute,second,teamId,x,y,expandedMinute,matchPeriod,event_type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,isGoal,cardType,pass_recipient,matchID,match_string,team_name
0,2509371315,2,0,0,26,0,0,0,FirstHalf,Start,Successful,[],[],FALSE,,,,,,,,,,,,,,1640948,Newcastle - Liverpool,Liverpool
1,2509371337,2,0,0,23,0,0,0,FirstHalf,Start,Successful,[],[],FALSE,,,,,,,,,,,,,68659,1640948,Newcastle - Liverpool,Newcastle
2,2509371343,3,0,0,26,50.1,50.3,0,FirstHalf,Pass,Successful,"[{'PassEndY': '56.0'}, {'PassEndX': '27.4'}, {'Length': '24.1'}, {'Angle': '3.0'}, {'Zone': 'Back'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passBack', 'passLeft', 'defensiveThird', 'pos']",TRUE,68659,27.4,56,,,,,,,,,,136451,1640948,Newcastle - Liverpool,Liverpool
3,2509371363,4,0,3,26,27.8,57.3,0,FirstHalf,Pass,Unsuccessful,"[{'PassEndY': '100.0'}, {'Longball': True}, {'PassEndX': '72.0'}, {'Zone': 'Left'}, {'Angle': '0.6'}, {'Length': '55.1'}, {'Chipped': True}]","['touches', 'passInaccurate', 'passChipped', 'passLongBallInaccurate', 'passForward', 'passLeft', 'finalThird', 'pos']",TRUE,136451,72,100,,,,,,,,,,83078,1640948,Newcastle - Liverpool,Liverpool
4,2509371675,5,0,28,23,24.2,0,0,FirstHalf,Pass,Successful,"[{'Length': '4.1'}, {'PassEndY': '4.0'}, {'Zone': 'Back'}, {'Angle': '1.2'}, {'ThrowIn': True}, {'PassEndX': '25.6'}]","['touches', 'throwIn', 'passForward', 'passLeft', 'defensiveThird']",TRUE,83078,25.6,4,,,,,,,,,,201755,1640948,Newcastle - Liverpool,Newcastle
5,2509371709,6,0,31,23,22.9,5.5,0,FirstHalf,Pass,Successful,"[{'Angle': '3.1'}, {'Length': '19.4'}, {'Zone': 'Back'}, {'PassEndX': '4.4'}, {'PassEndY': '5.5'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passBack', 'defensiveThird', 'pos']",TRUE,201755,4.4,5.5,,,,,,,,,,82726,1640948,Newcastle - Liverpool,Newcastle
6,2509371735,7,0,33,23,3.5,4,0,FirstHalf,Pass,Unsuccessful,"[{'Longball': True}, {'Angle': '6.2'}, {'PassEndX': '41.1'}, {'Chipped': True}, {'Zone': 'Back'}, {'PassEndY': '1.7'}, {'Length': '39.5'}]","['touches', 'passBackZoneInaccurate', 'passInaccurate', 'passChipped', 'passLongBallInaccurate', 'passForward', 'passRight', 'midThird', 'pos']",TRUE,82726,41.1,1.7,,,,,,,,,,115726,1640948,Newcastle - Liverpool,Newcastle
7,2509371741,6,0,35,26,58.9,95,0,FirstHalf,Pass,Successful,"[{'Zone': 'Left'}, {'HeadPass': True}, {'PassEndY': '93.0'}, {'Length': '6.2'}, {'Angle': '6.1'}, {'PassEndX': '64.7'}]","['touches', 'passForwardZoneAccurate', 'passAccurate', 'shortPassAccurate', 'passHead', 'passForward', 'passRight', 'midThird', 'pos']",TRUE,115726,64.7,93,,,,,,,,,,444540,1640948,Newcastle - Liverpool,Liverpool
8,2509371769,8,0,37,26,64.6,92.1,0,FirstHalf,Pass,Unsuccessful,"[{'PassEndY': '89.1'}, {'PassEndX': '73.6'}, {'Zone': 'Left'}, {'Angle': '6.1'}, {'Length': '9.7'}]","['touches', 'passInaccurate', 'shortPassInaccurate', 'passForward', 'passRight', 'finalThird', 'pos']",TRUE,444540,73.6,89.1,,,,,,,,,,82726,1640948,Newcastle - Liverpool,Liverpool
9,2509371815,9,0,38,23,23.4,21.1,0,FirstHalf,Pass,Successful,"[{'Zone': 'Back'}, {'Chipped': True}, {'Length': '18.2'}, {'Angle': '0.4'}, {'PassEndY': '32.2'}, {'PassEndX': '39.2'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passChipped', 'passForward', 'passLeft', 'midThird', 'pos']",TRUE,82726,39.2,32.2,,,,,,,,,,299254,1640948,Newcastle - Liverpool,Newcastle
