,id,eventId,minute,second,teamId,x,y,expandedMinute,period,event_type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,isGoal,match_id,playerName,match_string,team_name,Venue
0,2514063339,2,0,0,161,0,0,0,FirstHalf,Start,Successful,[],[],FALSE,,,,,,,,,,,,,1640740,Unknown,Liverpool - Wolves,Wolves,Away
1,2514063345,3,0,0,26,0,0,0,FirstHalf,Start,Successful,[],[],FALSE,,,,,,,,,,,,,1640740,Unknown,Liverpool - Wolves,Liverpool,Home
2,2514063355,3,0,0,161,49.9,50,0,FirstHalf,Pass,Successful,"[{'Zone': 'Back'}, {'PassEndX': '36.1'}, {'Angle': '3.5'}, {'PassEndY': '41.2'}, {'Length': '15.7'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passBack', 'passRight', 'midThird', 'pos']",TRUE,108186,36.1,41.2,,,,,,,,,,1640740,Raúl Jiménez,Liverpool - Wolves,Wolves,Away
3,2514063363,4,0,2,161,34.6,38.6,0,FirstHalf,Pass,Successful,"[{'Length': '14.1'}, {'Angle': '3.6'}, {'PassEndY': '29.8'}, {'Zone': 'Back'}, {'PassEndX': '22.4'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passBack', 'passRight', 'defensiveThird', 'pos']",TRUE,238244,22.4,29.8,,,,,,,,,,1640740,Rúben Neves,Liverpool - Wolves,Wolves,Away
4,2514063399,5,0,4,161,22.7,30.4,0,FirstHalf,Pass,Successful,"[{'Zone': 'Back'}, {'Length': '23.4'}, {'PassEndY': '55.8'}, {'PassEndX': '7.6'}, {'Angle': '2.3'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passBack', 'passLeft', 'defensiveThird', 'pos']",TRUE,73063,7.6,55.8,,,,,,,,,,1640740,Craig Dawson,Liverpool - Wolves,Wolves,Away
5,2514063429,6,0,8,161,12.3,63.4,0,FirstHalf,Pass,Successful,"[{'Zone': 'Back'}, {'Angle': '1.0'}, {'PassEndX': '25.7'}, {'PassEndY': '95.7'}, {'Length': '26.1'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passForward', 'passLeft', 'defensiveThird', 'pos']",TRUE,122714,25.7,95.7,,,,,,,,,,1640740,José Sá,Liverpool - Wolves,Wolves,Away
6,2514063453,7,0,10,161,25.7,95.9,0,FirstHalf,Pass,Successful,"[{'PassEndY': '86.6'}, {'Angle': '3.5'}, {'PassEndX': '9.7'}, {'Length': '18.0'}, {'Zone': 'Back'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passBack', 'passRight', 'defensiveThird', 'pos']",TRUE,409730,9.7,86.6,,,,,,,,,,1640740,Hugo Bueno,Liverpool - Wolves,Wolves,Away
7,2514063499,8,0,12,161,10.4,89.3,0,FirstHalf,Pass,Unsuccessful,"[{'Angle': '0.0'}, {'Length': '30.6'}, {'Zone': 'Back'}, {'Chipped': True}, {'PassEndY': '90.6'}, {'PassEndX': '39.5'}]","['touches', 'passBackZoneInaccurate', 'passInaccurate', 'shortPassInaccurate', 'passChipped', 'passForward', 'passLeft', 'midThird', 'pos']",TRUE,368310,39.5,90.6,,,,,,,,,,1640740,Maximilian Kilman,Liverpool - Wolves,Wolves,Away
8,2514063493,4,0,15,26,63.7,16.2,0,FirstHalf,Interception,Successful,[{'Zone': 'Right'}],"['touches', 'interceptionAll', 'interceptionWon']",TRUE,115916,,,,,,,,,,,,1640740,Fabinho,Liverpool - Wolves,Liverpool,Home
9,2514063513,5,0,16,26,65,20,0,FirstHalf,BallRecovery,Successful,[],['ballRecovery'],FALSE,444540,,,,,,,,,,,,1640740,Stefan Bajcetic,Liverpool - Wolves,Liverpool,Home
10,2514063531,6,0,17,26,65,20,0,FirstHalf,Pass,Successful,"[{'Zone': 'Right'}, {'PassEndY': '12.0'}, {'PassEndX': '68.1'}, {'Length': '6.3'}, {'Angle': '5.3'}]","['touches', 'passForwardZoneAccurate', 'passAccurate', 'shortPassAccurate', 'successfulFinalThirdPasses', 'passForward', 'passRight', 'finalThird', 'pos']",TRUE,444540,68.1,12,,,,,,,,,,1640740,Stefan Bajcetic,Liverpool - Wolves,Liverpool,Home
11,2514063537,7,0,17,26,68.1,12,0,FirstHalf,Pass,Unsuccessful,"[{'Zone': 'Right'}, {'PassEndY': '14.1'}, {'PassEndX': '82.6'}, {'Length': '15.3'}, {'Angle': '0.1'}]","['touches', 'passInaccurate', 'shortPassInaccurate', 'passForward', 'passLeft', 'finalThird', 'pos']",TRUE,363982,82.6,14.1,,,,,,,,,,1640740,Harvey Elliott,Liverpool - Wolves,Liverpool,Home
12,2514063557,9,0,20,161,14.6,82.7,0,FirstHalf,BallRecovery,Successful,[],['ballRecovery'],FALSE,368310,,,,,,,,,,,,1640740,Maximilian Kilman,Liverpool - Wolves,Wolves,Away
13,2514063595,10,0,20,161,14.6,82.7,0,FirstHalf,Pass,Unsuccessful,"[{'Longball': True}, {'Zone': 'Left'}, {'PassEndX': '59.6'}, {'Angle': '0.1'}, {'PassEndY': '89.1'}, {'Length': '47.5'}]","['touches', 'passInaccurate', 'passLongBallInaccurate', 'passForward', 'passLeft', 'midThird', 'pos']",TRUE,368310,59.6,89.1,,,,,,,,,,1640740,Maximilian Kilman,Liverpool - Wolves,Wolves,Away
14,2514063615,8,0,23,26,37.4,17.3,0,FirstHalf,Pass,Unsuccessful,"[{'Angle': '6.1'}, {'Length': '11.7'}, {'HeadPass': True}, {'PassEndY': '13.8'}, {'Zone': 'Back'}, {'PassEndX': '48.3'}]","['touches', 'passBackZoneInaccurate', 'passInaccurate', 'shortPassInaccurate', 'passHead', 'passForward', 'passRight', 'midThird', 'pos']",TRUE,345957,48.3,13.8,,,,,,,,,,1640740,Ibrahima Konaté,Liverpool - Wolves,Liverpool,Home
15,2514063647,11,0,27,161,54.7,98.1,0,FirstHalf,Pass,Unsuccessful,"[{'PassEndX': '57.4'}, {'Zone': 'Left'}, {'Offensive': True}, {'PassEndY': '97.8'}, {'Length': '2.8'}, {'OppositeRelatedEvent': '9'}, {'Angle': '6.2'}]","['touches', 'passInaccurate', 'shortPassInaccurate', 'passForward', 'passRight', 'midThird', 'pos']",TRUE,16161,57.4,97.8,,,,,,,,,,1640740,João Moutinho,Liverpool - Wolves,Wolves,Away
16,2514063673,9,0,27,26,44.8,4.7,0,FirstHalf,BlockedPass,Successful,"[{'OppositeRelatedEvent': '11'}, {'Defensive': True}, {'Zone': 'Back'}]","['touches', 'outfielderBlockedPass']",TRUE,318871,,,,,,,,,,,,1640740,Trent Alexander-Arnold,Liverpool - Wolves,Liverpool,Home
17,2514063775,13,0,35,161,57.5,100,0,FirstHalf,Pass,Successful,"[{'Angle': '5.1'}, {'Length': '7.2'}, {'PassEndY': '91.5'}, {'Zone': 'Left'}, {'ThrowIn': True}, {'PassEndX': '60.1'}]","['touches', 'throwIn', 'passForward', 'passRight', 'midThird']",TRUE,409730,60.1,91.5,,,,,,,,,,1640740,Hugo Bueno,Liverpool - Wolves,Wolves,Away
18,2514063799,14,0,37,161,59.2,90.6,0,FirstHalf,Pass,Successful,"[{'Angle': '2.4'}, {'PassEndY': '98.0'}, {'Length': '7.3'}, {'Zone': 'Left'}, {'PassEndX': '54.2'}]","['touches', 'passForwardZoneAccurate', 'passAccurate', 'shortPassAccurate', 'passBack', 'passLeft', 'midThird', 'pos']",TRUE,123481,54.2,98,,,,,,,,,,1640740,Mario Lemina,Liverpool - Wolves,Wolves,Away
19,2514063841,15,0,40,161,35.7,92.1,0,FirstHalf,Pass,Successful,"[{'Length': '36.1'}, {'PassEndX': '18.7'}, {'Angle': '4.2'}, {'PassEndY': '46.0'}, {'Zone': 'Back'}, {'Longball': True}]","['touches', 'passAccurate', 'passLongBallAccurate', 'passBack', 'passRight', 'defensiveThird', 'pos']",TRUE,409730,18.7,46,,,,,,,,,,1640740,Hugo Bueno,Liverpool - Wolves,Wolves,Away
20,2514063871,16,0,44,161,20.2,40.4,0,FirstHalf,Pass,Successful,"[{'Angle': '5.1'}, {'Length': '25.8'}, {'Zone': 'Back'}, {'PassEndY': '5.6'}, {'PassEndX': '30.1'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passForward', 'passRight', 'defensiveThird', 'pos']",TRUE,73063,30.1,5.6,,,,,,,,,,1640740,Craig Dawson,Liverpool - Wolves,Wolves,Away
21,2514063903,17,0,48,161,37.1,5.3,0,FirstHalf,Pass,Successful,"[{'Zone': 'Right'}, {'PassEndY': '5.9'}, {'PassEndX': '54.6'}, {'Length': '18.4'}, {'Angle': '0.0'}]","['touches', 'passForwardZoneAccurate', 'passAccurate', 'shortPassAccurate', 'passForward', 'passLeft', 'midThird', 'pos']",TRUE,296363,54.6,5.9,,,,,,,,,,1640740,Nélson Semedo,Liverpool - Wolves,Wolves,Away
22,2514063907,18,0,51,161,54.1,5.5,0,FirstHalf,Foul,Successful,"[{'Offensive': True}, {'Zone': 'Right'}, {'Foul': True}, {'OppositeRelatedEvent': '11'}]","['touches', 'foulGiven']",TRUE,94868,,,,,,,,,,,,1640740,Pablo Sarabia,Liverpool - Wolves,Wolves,Away
23,2514063917,11,0,51,26,45.9,94.5,0,FirstHalf,Foul,Unsuccessful,"[{'Foul': True}, {'OppositeRelatedEvent': '18'}, {'Zone': 'Back'}, {'Defensive': True}]",['foulCommitted'],FALSE,301455,,,,,,,,,,,,1640740,Konstantinos Tsimikas,Liverpool - Wolves,Liverpool,Home
24,2514064153,19,1,11,161,53.7,4.4,1,FirstHalf,Pass,Successful,"[{'Angle': '2.1'}, {'PassEndX': '44.8'}, {'Zone': 'Back'}, {'PassEndY': '29.7'}, {'Length': '19.6'}, {'FreekickTaken': True}]","['touches', 'passAccurate', 'shortPassAccurate', 'passFreekickAccurate', 'passBack', 'passLeft', 'midThird', 'pos']",TRUE,296363,44.8,29.7,,,,,,,,,,1640740,Nélson Semedo,Liverpool - Wolves,Wolves,Away
25,2514064173,20,1,11,161,44.8,29.7,1,FirstHalf,Pass,Successful,"[{'Angle': '1.8'}, {'Length': '21.6'}, {'Zone': 'Back'}, {'PassEndY': '60.5'}, {'PassEndX': '39.7'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passBack', 'passLeft', 'midThird', 'pos']",TRUE,238244,39.7,60.5,,,,,,,,,,1640740,Rúben Neves,Liverpool - Wolves,Wolves,Away
26,2514064227,21,1,12,161,39,67.8,1,FirstHalf,Pass,Successful,"[{'Zone': 'Left'}, {'Length': '27.7'}, {'PassEndX': '58.9'}, {'Angle': '0.7'}, {'PassEndY': '94.5'}]","['touches', 'passForwardZoneAccurate', 'passAccurate', 'shortPassAccurate', 'passForward', 'passLeft', 'midThird', 'pos']",TRUE,123481,58.9,94.5,,,,,,,,,,1640740,Mario Lemina,Liverpool - Wolves,Wolves,Away
27,2514064257,22,1,17,161,62.2,95.3,1,FirstHalf,Pass,Successful,"[{'PassEndY': '93.3'}, {'Angle': '3.3'}, {'Length': '9.4'}, {'PassEndX': '53.3'}, {'Zone': 'Left'}]","['touches', 'passForwardZoneAccurate', 'passAccurate', 'shortPassAccurate', 'passBack', 'passRight', 'midThird', 'pos']",TRUE,409730,53.3,93.3,,,,,,,,,,1640740,Hugo Bueno,Liverpool - Wolves,Wolves,Away
28,2514064269,23,1,19,161,53.4,89,1,FirstHalf,Pass,Successful,"[{'Angle': '4.0'}, {'PassEndY': '59.3'}, {'Length': '25.8'}, {'PassEndX': '38.1'}, {'Zone': 'Back'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passBack', 'passRight', 'midThird', 'pos']",TRUE,123481,38.1,59.3,,,,,,,,,,1640740,Mario Lemina,Liverpool - Wolves,Wolves,Away
29,2514064311,24,1,24,161,37.7,61.4,1,FirstHalf,Pass,Successful,"[{'Longball': True}, {'Angle': '5.2'}, {'Length': '45.8'}, {'Chipped': True}, {'Zone': 'Right'}, {'PassEndY': '3.1'}, {'PassEndX': '59.5'}]","['touches', 'passForwardZoneAccurate', 'passAccurate', 'passChipped', 'passLongBallAccurate', 'passForward', 'passRight', 'midThird', 'pos']",TRUE,238244,59.5,3.1,,,,,,,,,,1640740,Rúben Neves,Liverpool - Wolves,Wolves,Away
30,2514064313,12,1,27,26,38.4,91.6,1,FirstHalf,Challenge,Unsuccessful,"[{'OppositeRelatedEvent': '25'}, {'Defensive': True}, {'Zone': 'Back'}]",['challengeLost'],FALSE,400828,,,,,,,,,,,,1640740,Darwin Núñez,Liverpool - Wolves,Liverpool,Home
31,2514064359,25,1,27,161,61.6,8.4,1,FirstHalf,TakeOn,Successful,"[{'Offensive': True}, {'Zone': 'Right'}, {'OppositeRelatedEvent': '12'}]","['touches', 'dribbleWon']",TRUE,296363,,,,,,,,,,,,1640740,Nélson Semedo,Liverpool - Wolves,Wolves,Away
32,2514064379,26,1,30,161,62.9,4.6,1,FirstHalf,Pass,Successful,"[{'Length': '7.9'}, {'PassEndY': '15.2'}, {'Angle': '2.0'}, {'PassEndX': '59.9'}, {'Zone': 'Right'}]","['touches', 'passForwardZoneAccurate', 'passAccurate', 'shortPassAccurate', 'passBack', 'passLeft', 'midThird', 'pos']",TRUE,296363,59.9,15.2,,,,,,,,,,1640740,Nélson Semedo,Liverpool - Wolves,Wolves,Away
33,2514064409,27,1,33,161,48,15.2,1,FirstHalf,Pass,Successful,"[{'Angle': '2.5'}, {'Zone': 'Back'}, {'PassEndX': '32.3'}, {'Length': '20.0'}, {'PassEndY': '31.9'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passBack', 'passLeft', 'defensiveThird', 'pos']",TRUE,16161,32.3,31.9,,,,,,,,,,1640740,João Moutinho,Liverpool - Wolves,Wolves,Away
34,2514064431,28,1,36,161,32.3,31.9,1,FirstHalf,Pass,Successful,"[{'Zone': 'Back'}, {'PassEndX': '34.5'}, {'Length': '10.8'}, {'PassEndY': '16.4'}, {'Angle': '4.9'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passForward', 'passRight', 'midThird', 'pos']",TRUE,238244,34.5,16.4,,,,,,,,,,1640740,Rúben Neves,Liverpool - Wolves,Wolves,Away
35,2514064459,29,1,38,161,35.4,13.1,1,FirstHalf,Pass,Successful,"[{'Chipped': True}, {'Length': '28.0'}, {'Zone': 'Right'}, {'Angle': '6.1'}, {'PassEndX': '61.5'}, {'PassEndY': '4.4'}]","['touches', 'passForwardZoneAccurate', 'passAccurate', 'shortPassAccurate', 'passChipped', 'passForward', 'passRight', 'midThird', 'pos']",TRUE,73063,61.5,4.4,,,,,,,,,,1640740,Craig Dawson,Liverpool - Wolves,Wolves,Away
36,2514064507,30,1,40,161,61.6,4.1,1,FirstHalf,Pass,Successful,"[{'Angle': '6.1'}, {'PassEndY': '1.4'}, {'Length': '9.3'}, {'Zone': 'Right'}, {'PassEndX': '70.3'}]","['touches', 'passForwardZoneAccurate', 'passAccurate', 'shortPassAccurate', 'successfulFinalThirdPasses', 'passForward', 'passRight', 'finalThird', 'pos']",TRUE,94868,70.3,1.4,,,,,,,,,,1640740,Pablo Sarabia,Liverpool - Wolves,Wolves,Away
37,2514064519,31,1,45,161,87.2,6.8,1,FirstHalf,Pass,Unsuccessful,"[{'Cross': True}, {'Angle': '1.4'}, {'Length': '17.4'}, {'PassEndX': '90.8'}, {'Zone': 'Center'}, {'PassEndY': '31.8'}]","['touches', 'passCrossInaccurate', 'passForward', 'passLeft', 'finalThird', 'pos']",TRUE,296363,90.8,31.8,,,,,,,,,,1640740,Nélson Semedo,Liverpool - Wolves,Wolves,Away
38,2514064549,13,1,46,26,10.6,75,1,FirstHalf,Pass,Successful,"[{'PassEndX': '10.9'}, {'Length': '4.6'}, {'Angle': '1.5'}, {'PassEndY': '81.7'}, {'Zone': 'Back'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passForward', 'passLeft', 'defensiveThird', 'pos']",TRUE,95408,10.9,81.7,,,,,,,,,,1640740,Virgil van Dijk,Liverpool - Wolves,Liverpool,Home
39,2514064555,14,1,47,26,10.9,81.7,1,FirstHalf,BallRecovery,Successful,[],['ballRecovery'],FALSE,301455,,,,,,,,,,,,1640740,Konstantinos Tsimikas,Liverpool - Wolves,Liverpool,Home
40,2514064581,15,1,48,26,10.9,81.7,1,FirstHalf,Pass,Successful,"[{'Angle': '5.3'}, {'Zone': 'Back'}, {'PassEndY': '48.5'}, {'Length': '26.9'}, {'PassEndX': '24.9'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passForward', 'passRight', 'defensiveThird', 'pos']",TRUE,301455,24.9,48.5,,,,,,,,,,1640740,Konstantinos Tsimikas,Liverpool - Wolves,Liverpool,Home
41,2514064615,16,1,50,26,26.8,48,1,FirstHalf,TakeOn,Successful,"[{'Zone': 'Back'}, {'Defensive': True}, {'OppositeRelatedEvent': '32'}]","['touches', 'dribbleWon']",TRUE,363982,,,,,,,,,,,,1640740,Harvey Elliott,Liverpool - Wolves,Liverpool,Home
42,2514064585,32,1,50,161,73.2,52,1,FirstHalf,Challenge,Unsuccessful,"[{'OppositeRelatedEvent': '16'}, {'Zone': 'Center'}, {'Offensive': True}]",['challengeLost'],FALSE,238244,,,,,,,,,,,,1640740,Rúben Neves,Liverpool - Wolves,Wolves,Away
43,2514064707,17,1,53,26,34.3,33.1,1,FirstHalf,Pass,Successful,"[{'Zone': 'Back'}, {'PassEndY': '4.1'}, {'PassEndX': '48.2'}, {'Length': '24.5'}, {'Angle': '5.3'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passForward', 'passRight', 'midThird', 'pos']",TRUE,363982,48.2,4.1,,,,,,,,,,1640740,Harvey Elliott,Liverpool - Wolves,Liverpool,Home
44,2514064717,18,2,1,26,84.3,25.5,2,FirstHalf,Pass,Successful,"[{'Angle': '1.4'}, {'PassEndY': '30.1'}, {'PassEndX': '84.7'}, {'Length': '3.2'}, {'Zone': 'Center'}]","['touches', 'passForwardZoneAccurate', 'passAccurate', 'shortPassAccurate', 'successfulFinalThirdPasses', 'passForward', 'passLeft', 'finalThird', 'pos']",TRUE,108226,84.7,30.1,,,,,,,,,,1640740,Mohamed Salah,Liverpool - Wolves,Liverpool,Home
45,2514064721,19,2,2,26,84.7,30.1,2,FirstHalf,BallTouch,Unsuccessful,[{'Zone': 'Center'}],"['touches', 'turnover']",TRUE,363982,,,,,,,,,,,,1640740,Harvey Elliott,Liverpool - Wolves,Liverpool,Home
46,2514064791,33,2,3,161,13.3,61.7,2,FirstHalf,BallTouch,Unsuccessful,[{'Zone': 'Back'}],"['touches', 'turnover']",TRUE,123481,,,,,,,,,,,,1640740,Mario Lemina,Liverpool - Wolves,Wolves,Away
47,2514064753,20,2,5,26,86.6,46.3,2,FirstHalf,SavedShot,Successful,"[{'Zone': 'Center'}, {'RegularPlay': True}, {'BoxCentre': True}, {'BlockedX': '98.0'}, {'BlockedY': '49.3'}, {'LowCentre': True}, {'GoalMouthY': '49.2'}, {'OppositeRelatedEvent': '35'}, {'RightFoot': True}, {'GoalMouthZ': '1.9'}]","['touches', 'shotOnTarget', 'shotsTotal', 'shotPenaltyArea', 'shotOpenPlay', 'shotRightFoot']",TRUE,444540,,,98,49.3,1.9,49.2,TRUE,,,,,1640740,Stefan Bajcetic,Liverpool - Wolves,Liverpool,Home
48,2514064799,35,2,5,161,2.3,50.3,2,FirstHalf,Save,Successful,"[{'OppositeRelatedEvent': '20'}, {'Hands': True}, {'Zone': 'Back'}, {'Collected': True}, {'KeeperSaveInTheBox': True}]","['touches', 'collected', 'keeperSaveTotal', 'keeperSaveInTheBox', 'saveHands', 'saveObp', 'savePenaltyArea']",TRUE,122714,,,,,,,,,,,,1640740,José Sá,Liverpool - Wolves,Wolves,Away
49,2514064795,34,2,6,161,2.3,50.3,2,FirstHalf,KeeperPickup,Successful,[],['ballRecovery'],FALSE,122714,,,,,,,,,,,,1640740,José Sá,Liverpool - Wolves,Wolves,Away
