,id,eventId,minute,second,teamId,x,y,expandedMinute,period,event_type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,isGoal,cardType,match_id,playerName,match_string,team_name,team,Venue
0,2440372419.0,2,0,0.0,26,0.0,0.0,0,FirstHalf,Start,Successful,[],[],False,<NA>,,,,,,,,,,,,1636165,,Liverpool - Man City,Liverpool,Liverpool,Home
1,2440372449.0,2,0,0.0,167,0.0,0.0,0,FirstHalf,Start,Successful,[],[],False,<NA>,,,,,,,,,,,,1636165,,Liverpool - Man City,Man City,Man City,Away
2,2440372455.0,3,0,0.0,26,50.3,50.4,0,FirstHalf,Pass,Successful,"[{'PassEndX': '29.4'}, {'PassEndY': '39.7'}, {'StandingSave': True}, {'Length': '23.1'}, {'Angle': '3.5'}, {'Zone': 'Back'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passBack', 'passRight', 'defensiveThird', 'pos']",True,68659,29.4,39.7,,,,,,,,,,1636165,Jordan Henderson,Liverpool - Man City,Liverpool,Liverpool,Home
3,2440372473.0,4,0,3.0,26,29.2,39.7,0,FirstHalf,Pass,Unsuccessful,"[{'StandingSave': True}, {'Longball': True}, {'Zone': 'Center'}, {'PassEndY': '72.9'}, {'PassEndX': '74.7'}, {'Angle': '0.4'}, {'Length': '52.8'}]","['touches', 'passInaccurate', 'passLongBallInaccurate', 'passForward', 'passLeft', 'finalThird', 'pos']",True,74341,74.7,72.9,,,,,,,,,,1636165,Joël Matip,Liverpool - Man City,Liverpool,Liverpool,Home
4,2440372471.0,3,0,6.0,167,26.6,28.1,0,FirstHalf,Aerial,Successful,"[{'Zone': 'Back'}, {'Defensive': True}, {'OppositeRelatedEvent': '5'}]","['duelAerialWon', 'defensiveDuel']",False,303139,,,,,,,,,,,,1636165,Rodri,Liverpool - Man City,Man City,Man City,Away
5,2440372475.0,5,0,6.0,26,73.4,71.9,0,FirstHalf,Aerial,Unsuccessful,"[{'OppositeRelatedEvent': '3'}, {'Zone': 'Center'}, {'Offensive': True}]","['duelAerialLost', 'offensiveDuel']",False,96182,,,,,,,,,,,,1636165,Roberto Firmino,Liverpool - Man City,Liverpool,Liverpool,Home
6,2440372497.0,4,0,6.0,167,28.1,28.9,0,FirstHalf,Pass,Successful,"[{'Length': '8.6'}, {'Zone': 'Back'}, {'PassEndY': '40.0'}, {'Angle': '1.1'}, {'HeadPass': True}, {'PassEndX': '32.1'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passHead', 'passForward', 'passLeft', 'defensiveThird', 'pos']",True,303139,32.1,40.0,,,,,,,,,,1636165,Rodri,Liverpool - Man City,Man City,Man City,Away
7,2440372513.0,5,0,7.0,167,31.8,38.2,0,FirstHalf,Pass,Unsuccessful,"[{'Zone': 'Back'}, {'StandingSave': True}, {'Angle': '6.0'}, {'Longball': True}, {'PassEndY': '32.5'}, {'PassEndX': '46.1'}, {'Length': '15.5'}]","['touches', 'passBackZoneInaccurate', 'passInaccurate', 'passLongBallInaccurate', 'passForward', 'passRight', 'midThird', 'pos']",True,136741,46.1,32.5,,,,,,,,,,1636165,Bernardo Silva,Liverpool - Man City,Man City,Man City,Away
8,2440372547.0,6,0,9.0,26,56.4,68.1,0,FirstHalf,BallTouch,Successful,"[{'Zone': 'Center'}, {'Head': True}]",['touches'],True,95408,,,,,,,,,,,,1636165,Virgil van Dijk,Liverpool - Man City,Liverpool,Liverpool,Home
9,2440372577.0,7,0,11.0,26,39.2,54.9,0,FirstHalf,Pass,Successful,"[{'Length': '18.7'}, {'PassEndX': '54.7'}, {'Zone': 'Center'}, {'Angle': '0.5'}, {'StandingSave': True}, {'PassEndY': '68.5'}]","['touches', 'passForwardZoneAccurate', 'passAccurate', 'shortPassAccurate', 'passForward', 'passLeft', 'midThird', 'pos']",True,74341,54.7,68.5,,,,,,,,,,1636165,Joël Matip,Liverpool - Man City,Liverpool,Liverpool,Home
10,2440372605.0,8,0,13.0,26,55.7,69.3,0,FirstHalf,Pass,Successful,"[{'Zone': 'Left'}, {'Length': '18.8'}, {'Angle': '1.1'}, {'PassEndY': '93.5'}, {'PassEndX': '64.3'}, {'StandingSave': True}]","['touches', 'passForwardZoneAccurate', 'passAccurate', 'shortPassAccurate', 'passForward', 'passLeft', 'midThird', 'pos']",True,115916,64.3,93.5,,,,,,,,,,1636165,Fabinho,Liverpool - Man City,Liverpool,Liverpool,Home
11,2440372639.0,9,0,18.0,26,65.9,93.3,0,FirstHalf,Pass,Successful,"[{'PassEndX': '52.9'}, {'Zone': 'Left'}, {'Length': '13.7'}, {'PassEndY': '92.1'}, {'StandingSave': True}, {'Angle': '3.2'}]","['touches', 'passForwardZoneAccurate', 'passAccurate', 'shortPassAccurate', 'passBack', 'passRight', 'midThird', 'pos']",True,377168,52.9,92.1,,,,,,,,,,1636165,Luis Díaz,Liverpool - Man City,Liverpool,Liverpool,Home
12,2440372677.0,10,0,20.0,26,53.6,90.2,0,FirstHalf,Pass,Successful,"[{'Chipped': True}, {'Length': '37.3'}, {'Longball': True}, {'PassEndX': '41.2'}, {'PassEndY': '38.8'}, {'StandingSave': True}, {'Angle': '4.4'}, {'Zone': 'Back'}]","['touches', 'passAccurate', 'passChipped', 'passLongBallAccurate', 'passBack', 'passRight', 'midThird', 'pos']",True,115726,41.2,38.8,,,,,,,,,,1636165,Andrew Robertson,Liverpool - Man City,Liverpool,Liverpool,Home
13,2440372705.0,11,0,22.0,26,42.2,38.3,0,FirstHalf,Pass,Successful,"[{'Zone': 'Back'}, {'Length': '24.1'}, {'PassEndX': '47.3'}, {'PassEndY': '3.8'}, {'StandingSave': True}, {'Angle': '4.9'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passForward', 'passRight', 'midThird', 'pos']",True,74341,47.3,3.8,,,,,,,,,,1636165,Joël Matip,Liverpool - Man City,Liverpool,Liverpool,Home
14,2440372731.0,12,0,26.0,26,47.2,3.8,0,FirstHalf,Pass,Successful,"[{'StandingSave': True}, {'Angle': '1.2'}, {'Length': '19.3'}, {'PassEndX': '54.6'}, {'PassEndY': '29.8'}, {'Zone': 'Center'}]","['touches', 'passForwardZoneAccurate', 'passAccurate', 'shortPassAccurate', 'passForward', 'passLeft', 'midThird', 'pos']",True,318871,54.6,29.8,,,,,,,,,,1636165,Trent Alexander-Arnold,Liverpool - Man City,Liverpool,Liverpool,Home
15,2440372799.0,13,0,27.0,26,55.3,29.5,0,FirstHalf,Pass,Successful,"[{'PassEndY': '5.6'}, {'Zone': 'Right'}, {'Angle': '5.8'}, {'Length': '35.3'}, {'Chipped': True}, {'Longball': True}, {'StandingSave': True}, {'PassEndX': '85.1'}]","['touches', 'passForwardZoneAccurate', 'passAccurate', 'passChipped', 'passLongBallAccurate', 'successfulFinalThirdPasses', 'passForward', 'passRight', 'finalThird', 'pos']",True,115916,85.1,5.6,,,,,,,,,,1636165,Fabinho,Liverpool - Man City,Liverpool,Liverpool,Home
